Type,IP Address/Domain,Source
Callback Domains,ldaps://lx-ffff3fe775e4bb0108a93db66100000000c6748d.probe001.log4j.leakix.net:4344/b,GitHub
Callback Domains,ldaps://lx-ffff8ba2ce73bb0108313eb66100000000839e76.probe001.log4j.leakix.net:4344/b,GitHub
Callback Domains,ldaps://81aea5e2.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://7e8e4bc5.probe001.log4j.leakix.net:1266/b,GitHub
Callback Domains,ldaps://lx-ffff225bc071fb2008326ab661000000004114fa.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff68c6795250000818f7b76100000000c949c8,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff1f8567afbb010806f8b761000000005288dc,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff23c71fd4bb0108f208b8610000000008d12e,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff23c71fd4bb01082309b861000000003b22c3,GitHub
Callback Domains,ldaps://lx-ffffa9325833bb084382b561000000005b2d47.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffffb24f84ecfb2008087fb661000000008d5ca3.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://05ff6845.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffffc60bf5e3fb200861f2b7610000000088485b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe77522bb0108c4f3b7610000000053359e,GitHub
Callback Domains,ldaps://lx-ffffac690875bb087a04b661000000005a0a69.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff1f8567acbb0108a15fb66100000000908abc.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://b74f1719.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://4697ca73.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://dde02543.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff23cb3d39bb01080a61b661000000006bc4e2.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff23cb3d39bb01080b61b661000000001206af.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://e46abe55.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff3fe775afbb01086c66b66100000000de5fa7.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff68d2d2ccfb2008d067b66100000000b75c22.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://e737b62d.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://1ad97b75.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff68d38b89bb01080c3bb66100000000480125.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffffa9388c6ebb0108393bb66100000000aa1a37.probe001.log4j.leakix.net:12333/b,GitHub
Callback Domains,ldaps://3fd1b0bc.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff42e423cfbb0108a622b761000000009009e5,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff23e89f0750000890e9b76100000000a96103,GitHub
Callback Domains,ldaps://0561eaed.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://4c2c2390.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldap://:443/lx-ffff224e7310fb2008d791b66100000000d6fa8e,GitHub
Callback Domains,ldaps://ed1d4dfc.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://dff5d0b8.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://0241465b.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://e9162d6e.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://ab6deb93.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://d21ad2c0.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://b3377d23.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://c1b6b43f.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe775e450000803eab6610000000088337f,GitHub
